SH, 19, 1973012806, , MANN, 0, 159S, 1229E, 30, 1000
SH, 19, 1973012812, , MANN, 0, 164S, 1225E, 35, 998
SH, 19, 1973012818, , MANN, 0, 170S, 1221E, 35, 997
SH, 19, 1973012900, , MANN, 0, 175S, 1216E, 35, 996
SH, 19, 1973012906, , MANN, 0, 178S, 1211E, 45, 992
SH, 19, 1973012912, , MANN, 0, 180S, 1208E, 45, 991
SH, 19, 1973012918, , MANN, 0, 180S, 1207E, 45, 992
SH, 19, 1973013000, , MANN, 0, 180S, 1206E, 45, 992
SH, 19, 1973013006, , MANN, 0, 180S, 1205E, 45, 992
SH, 19, 1973013012, , MANN, 0, 180S, 1203E, 45, 992
SH, 19, 1973013018, , MANN, 0, 180S, 1202E, 40, 994
SH, 19, 1973013100, , MANN, 0, 180S, 1202E, 40, 995
