SH, 32, 1974032200, , MANN, 0, 254S, 1564E, 30, -999
SH, 32, 1974032206, , MANN, 0, 268S, 1578E, 35, -999
SH, 32, 1974032212, , MANN, 0, 282S, 1593E, 35, -999
SH, 32, 1974032218, , MANN, 0, 286S, 1597E, 35, -999
SH, 32, 1974032300, , MANN, 0, 290S, 1601E, 40, -999
SH, 32, 1974032306, , MANN, 0, 296S, 1603E, 45, -999
SH, 32, 1974032312, , MANN, 0, 302S, 1603E, 45, -999
SH, 32, 1974032318, , MANN, 0, 306S, 1602E, 50, -999
SH, 32, 1974032400, , MANN, 0, 309S, 1601E, 50, -999
SH, 32, 1974032406, , MANN, 0, 318S, 1598E, 55, -999
SH, 32, 1974032412, , MANN, 0, 328S, 1597E, 50, -999
SH, 32, 1974032418, , MANN, 0, 337S, 1600E, 40, -999
SH, 32, 1974032500, , MANN, 0, 345S, 1604E, 35, -999
SH, 32, 1974032506, , MANN, 0, 347S, 1605E, 30, -999
SH, 32, 1974032512, , MANN, 0, 350S, 1605E, 25, -999
SH, 32, 1974032518, , MANN, 0, 351S, 1604E, 25, -999
SH, 32, 1974032600, , MANN, 0, 352S, 1603E, 25, -999
SH, 32, 1974032606, , MANN, 0, 352S, 1598E, 25, -999
SH, 32, 1974032612, , MANN, 0, 350S, 1594E, 25, -999
SH, 32, 1974032618, , MANN, 0, 349S, 1596E, 25, -999
SH, 32, 1974032700, , MANN, 0, 350S, 1600E, 25, -999
SH, 32, 1974032706, , MANN, 0, 351S, 1600E, 25, -999
SH, 32, 1974032712, , MANN, 0, 353S, 1599E, 25, -999
SH, 32, 1974032718, , MANN, 0, 355S, 1599E, 25, -999
SH, 32, 1974032800, , MANN, 0, 357S, 1599E, 25, -999
SH, 32, 1974032806, , MANN, 0, 360S, 1599E, 25, -999
SH, 32, 1974032812, , MANN, 0, 363S, 1600E, 20, -999
SH, 32, 1974032818, , MANN, 0, 369S, 1600E, 20, -999
SH, 32, 1974032900, , MANN, 0, 375S, 1600E, 20, -999
SH, 32, 1974032906, , MANN, 0, 381S, 1599E, 20, -999
SH, 32, 1974032912, , MANN, 0, 387S, 1598E, 20, -999
SH, 32, 1974032918, , MANN, 0, 397S, 1598E, 20, -999
SH, 32, 1974033000, , MANN, 0, 407S, 1600E, 20, -999
